FountainType,the_geom,Location,Place,BoroCode,Availability,Latitude,Longitude
E Wheelchair Dog,POINT (-73.95552037260236 40.791608776151946),Out in Open,Central Park,1,Active,40.79160878,-73.95552037
A,POINT (-73.93392522714005 40.60669822400518),Near Ballfield,Marine Park,3,Active,40.60669822,-73.93392523
A,POINT (-73.936438552294 40.82900639375079),"Under Tree, In Playground, Near Ballfield",Holcombe Rucker Park,1,Active,40.82900639,-73.93643855
E Wheelchair Dog,POINT (-73.94990590594197 40.79682564629575),"Under Tree, In Shade",Central Park,1,Active,40.79682565,-73.94990591
E High Low,POINT (-73.92289938217765 40.64394105390567),"Out in Open, Near Ballfield",Harry Maze Playground,3,Active,40.64394105,-73.92289938
D,POINT (-73.89667287303713 40.81947608195389),Near Ballfield,Rainey Park,2,Active,40.81947608,-73.89667287
A,POINT (-73.89696154358069 40.69750798970862),In Playground,Evergreen Park,4,Active,40.69750799,-73.89696154
D,POINT (-74.08128463392868 40.59574086963549),In Playground,Old Town Playground,5,Active,40.59574087,-74.08128463
A,POINT (-74.00410576051061 40.74661845690148),"Under Tree, In Shade, In Playground",Clement Clarke Moore Park,1,Active,40.74661846,-74.00410576
A,POINT (-74.00275612463598 40.728070303089964),"Under Tree, In Playground",Playground of the Americas,1,Active,40.7280703,-74.00275612
B,POINT (-73.99645526229924 40.688318187398835),"In Shade, In Playground",Cobble Hill Park,3,Active,40.68831819,-73.99645526
Trough,POINT (-73.90587278877067 40.82885437255689),Out in Open,Estella Diggs Park,2,Active,40.82885437,-73.90587279
E Wheelchair,POINT (-73.89555075072332 40.88158376611418),Under Tree,Fort Independence Playground,2,Active,40.88158377,-73.89555075
E Wheelchair Dog,POINT (-73.97264025669674 40.65468440108357),"Out in Open, Just Outside Playground",Prospect Park,3,Active,40.6546844,-73.97264026
