FountainType,the_geom,Location,Place,BoroCode,Availability,Latitude,Longitude
E Wheelchair,POINT (-73.95902678501992 40.681623997233984),"Under Tree, Just Outside Playground",Crispus Attucks Playground,3,Active,40.681624,-73.95902679
D,POINT (-74.07379158652388 40.63720473997979),Out in Open,Lyons Pool,5,Active,40.63720474,-74.07379159
E Wheelchair,POINT (-73.9574322227746 40.799818550472295),In Playground,Central Park,1,Active,40.79981855,-73.95743222
F Dog,POINT (-73.95712570795394 40.76006939230742),In Shade,Andrew Haswell Green Park,1,Active,40.76006939,-73.95712571
A,POINT (-73.87585942542448 40.679143375908076),"Out in Open, Near Ballfield",City Line Park,3,Active,40.67914338,-73.87585943
C,POINT (-73.87615093615828 40.87873305300309),Out in Open,Williamsbridge Oval,2,Active,40.87873305,-73.87615094
F High Low,POINT (-73.89604046551194 40.893752994494875),Out in Open,Van Cortlandt Park,2,Active,40.89375299,-73.89604047
Pedestal,POINT (-74.19592474033489 40.56070304037151),Near Ballfield,Freshkills Park,5,Active,40.56070304,-74.19592474
A,POINT (-73.74213590281438 40.74319004255673),Near Ballfield,Alley Pond Park,4,Active,40.74319004,-73.74213590000002
B,POINT (-73.9682384690798 40.78221690858628),"Under Tree, In Shade",Central Park,1,Active,40.78221691,-73.96823847
A,POINT (-73.92374240277063 40.834136928107625),Out in Open,Mullaly Park,2,Active,40.83413693,-73.92374240000002
C,POINT (-74.0083630206253 40.65292702381844),In Playground,Gonzalo Plasencia Playground,3,Active,40.65292702,-74.00836302
C,POINT (-73.86017931630923 40.76319647414588),Under Tree,Grand Central Parkway Extension,4,Active,40.76319647,-73.86017932
A,POINT (-74.09750010808482 40.57620045595851),Near Ballfield,Midland Field,5,Active,40.57620046,-74.09750011
Bottle Filler High Low,POINT (-73.9523815919824 40.82984029925356),"In Playground, Under Tree",Recreational Area,1,Active,40.8298403,-73.95238159
E Wheelchair,POINT (-73.93341229981776 40.78806517630602),Out in Open,Wards Island Park,1,Active,40.78806518,-73.9334123
F High Low,POINT (-73.97851509690874 40.78194505023264),"Under Tree, Just Outside Playground, Near Ballfield",Tecumseh Playground,1,Active,40.78194505,-73.9785151
E Wheelchair Dog,POINT (-73.96884051646803 40.7710704911161),"In Shade, Out in Open, Under Tree",Central Park,1,Active,40.77107049,-73.96884052
A,POINT (-74.01109175790126 40.60191102485859),Near Ballfield,Bath Beach Park,3,Active,40.60191102,-74.01109176
Other,POINT (-74.08507435715224 40.61166492087307),In Shade,Lopez Playground,5,Active,40.61166492,-74.08507436
D,POINT (-73.93791162291717 40.84155780232045),"Under Tree, In Playground",Audubon Playground,1,Active,40.8415578,-73.93791162
A,POINT (-73.82354822585661 40.782924613056984),Just Outside Playground,Harvey Park,4,Active,40.78292461,-73.82354823
E Wheelchair,POINT (-74.00515385145142 40.71283130360792),Under Tree,City Hall Park,1,Active,40.7128313,-74.00515385
E Wheelchair,POINT (-73.97589661063124 40.76992140847813),"Near Ballfield, Out in Open",Central Park,1,Active,40.76992141,-73.97589661
A,POINT (-73.9276852236828 40.68014216340407),"Under Tree, In Playground",Jackie Robinson Park,3,Active,40.68014216,-73.92768522
A,POINT (-73.8867225910332 40.68435783603313),Out in Open,Highland Park,3,Active,40.68435784,-73.88672259
A,POINT (-73.88260665960495 40.87796408570875),"Under Tree, In Shade, In Playground",Mosholu Parkway,2,Active,40.87796409,-73.88260666
C,POINT (-73.84144283671229 40.74805336896555),Under Tree,Flushing Meadows Corona Park,4,Active,40.74805337,-73.84144284
D,POINT (-73.87950940487836 40.658848632480876),"Out in Open, Just Outside Playground",Jerome Playground,3,Active,40.65884863,-73.8795094
A,POINT (-73.91164363705983 40.63579522143269),"Out in Open, Just Outside Playground",Bildersee Playground,3,Active,40.63579522,-73.91164364
A,POINT (-73.73178169568445 40.731268646116604),Under Tree,Detective William T. Gunn Park,4,Active,40.73126865,-73.7317817
C,POINT (-73.79545986014041 40.694098462996834),Near Ballfield,Marconi Park,4,Active,40.69409846,-73.79545986
D,POINT (-73.90473260344167 40.81747417776118),"Out in Open, In Playground",Abigail Playground,2,Active,40.81747418,-73.90473259999997
CS Concrete,POINT (-73.84569117084109 40.73707269334474),Out in Open,Grand Central Parkway Extension,4,Active,40.73707269,-73.84569117
A,POINT (-74.13614225043787 40.55202806062851),Out in Open,Greencroft Playground,5,Active,40.55202806,-74.13614225
D,POINT (-73.89001672544825 40.76224090979403),Near Ballfield,LaGuardia Landing Lights,4,Active,40.76224091,-73.89001673
C,POINT (-73.98398988339791 40.622963039427695),"Near Ballfield, In Shade",Gravesend Park,3,Active,40.62296304,-73.98398988
A,POINT (-73.89813659565466 40.84023897348267),Out in Open,Crotona Park,2,Active,40.84023897,-73.89813659999999
A,POINT (-73.7149063303084 40.74936938431852),Near Ballfield,Glen Oaks Oval,4,Active,40.74936938,-73.71490633
A,POINT (-73.75082549328336 40.594864340180436),Near Ballfield,Beach 17 Playground,4,Active,40.59486434,-73.75082549
A,POINT (-73.83987768013314 40.872850528481585),"Near Ballfield, In Shade",Haffen Park,2,Active,40.87285053,-73.83987768
C,POINT (-73.97010984113066 40.58700336695943),"Under Tree, In Shade, In Playground",West Playground,3,Active,40.58700337,-73.97010984
E Wheelchair,POINT (-73.9812003684503 40.572908720426696),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57290872,-73.98120037
E Wheelchair,POINT (-73.9829054360471 40.57270486219845),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57270486,-73.98290544
A,POINT (-74.01366358212682 40.6136400820685),Near Ballfield,Dyker Beach Park,3,Active,40.61364008,-74.01366358
E Wheelchair,POINT (-73.94090718618112 40.84592958929141),In Playground,J. Hood Wright Park,1,Active,40.84592959,-73.94090719
A,POINT (-73.92669308797224 40.84065997897491),In Shade,Merriam Playground,2,Active,40.84065998,-73.92669309
C,POINT (-73.99959213114394 40.69050211658239),Near Ballfield,Van Voorhees Park,3,Active,40.69050212,-73.99959213
A,POINT (-73.92018417032382 40.8721138797147),Near Ballfield,Isham Park,1,Active,40.87211388,-73.92018417
A,POINT (-73.95504521490541 40.71100767631763),"In Shade, In Playground",Rodney Playground North,3,Active,40.71100768,-73.95504521
E Wheelchair,POINT (-73.95554318236628 40.79164379641056),"Near Ballfield, Under Tree, In Shade",Central Park,1,Active,40.7916438,-73.95554318
CS Concrete,POINT (-73.8248042753129 40.763459366703806),Just Outside Playground,Margaret I. Carman Green - Weeping Beech,4,Active,40.76345937,-73.82480428
D,POINT (-74.00610632013635 40.7299278478087),"Under Tree, Just Outside Playground, Near Ballfield, In Shade",James J Walker Park,1,Active,40.72992785,-74.00610632
D,POINT (-73.88241662705477 40.893400089710745),Near Ballfield,Van Cortlandt Park,2,Active,40.89340009,-73.88241663
A,POINT (-73.90824910983324 40.67157325828247),"Under Tree, In Shade",Howard Playground,3,Active,40.67157326,-73.90824911
C,POINT (-73.82600985761232 40.851236253271786),In Playground,Pelham Bay Park,2,Active,40.85123625,-73.82600986
A,POINT (-73.96736352975336 40.70660437781899),Near Ballfield,Roberto Clemente Ballfield,3,Active,40.70660438,-73.96736353
F High Low,POINT (-73.93710991149882 40.60824389687381),Just Outside Playground,Marine Park,3,Active,40.6082439,-73.93710991
A,POINT (-73.75790862992028 40.72149173320719),In Playground,Bellaire Playground,4,Active,40.72149173,-73.75790863
D,POINT (-73.73208713460298 40.73142954303237),Under Tree,Detective William T. Gunn Park,4,Active,40.73142954,-73.73208713
D,POINT (-73.87076528204595 40.900671587321234),"Out in Open, Near Ballfield",Van Cortlandt Park,2,Active,40.90067159,-73.87076528
D,POINT (-73.85824056931783 40.862593816929376),"Out in Open, Just Outside Playground",Mazzei Playground,2,Active,40.86259382,-73.85824057
CS Concrete,POINT (-74.00203719957888 40.60233082512579),In Shade,Benson Playground,3,Active,40.60233083,-74.0020372
C,POINT (-73.88195753353682 40.84366696373379),,Vidalia Park,2,Active,40.84366696,-73.88195753
E Wheelchair,POINT (-73.95192276319455 40.72038675740687),"Out in Open, Near Ballfield, Under Tree",McCarren Park,3,Active,40.72038676,-73.95192276
Other,POINT (-73.82878620000497 40.82687990430339),"Out in Open, In Playground",Bruckner Playground,2,Active,40.8268799,-73.82878620000002
A,POINT (-73.79121147119533 40.86924666166816),Under Tree,Pelham Bay Park,2,Active,40.86924666,-73.79121147
A,POINT (-73.78524773946182 40.59253698167103),Under Tree,Arverne Playground,4,Active,40.59253698,-73.78524774
Trough,POINT (-73.8015926170955 40.586128592508814),Out in Open,Rockaway Beach Boardwalk,4,Active,40.58612859,-73.80159262
A,POINT (-73.78357852107014 40.70260956887842),Under Tree,Detective Keith L Williams Park,4,Active,40.70260957,-73.78357852
C,POINT (-73.89136558905106 40.705925069613066),In Playground,Mafera Park,4,Active,40.70592507,-73.89136559
A,POINT (-74.0169051794584 40.607124408732034),In Playground,Dyker Beach Park,3,Active,40.60712441,-74.01690518
E Wheelchair Child,POINT (-73.94791314224202 40.83991396630199),"In Playground, In Shade",Fort Washington Park,1,Active,40.83991397,-73.94791314
E Wheelchair Dog,POINT (-73.94362861208575 40.77589414594156),Out in Open,Carl Schurz Park,1,Active,40.77589415,-73.94362861
D,POINT (-73.94490717102173 40.80449070415498),Near Ballfield,Marcus Garvey Park,1,Active,40.8044907,-73.94490717
C,POINT (-73.97164850850486 40.66879989517073),Out in Open,Prospect Park,3,Active,40.6687999,-73.97164851
Other,POINT (-73.9728988413099 40.680675950947276),Out in Open,Dean Playground,3,Active,40.68067595,-73.97289884
C,POINT (-73.95493282924792 40.700676286985555),Just Outside Playground,Middleton Playground,3,Active,40.70067629,-73.95493283
D,POINT (-73.75652580172523 40.68568764584852),In Playground,Locust Manor Playground,4,Active,40.68568765,-73.75652579999998
D,POINT (-73.91771284257594 40.70988872280672),Under Tree,Starr Playground,4,Active,40.70988872,-73.91771284
Other,POINT (-73.90618930166747 40.74550537246275),Out in Open,Sohncke Square,4,Active,40.74550537,-73.9061893
A,POINT (-74.03643233631564 40.62613306152322),In Playground,Russell Pedersen Playground,3,Active,40.62613306,-74.03643234
CS Metal,POINT (-73.9896199036449 40.73626704066879),"In Playground, Under Tree",Union Square Park,1,Active,40.73626704,-73.98961990000002
Trough,POINT (-74.01460038143942 40.71571998971231),"In Shade, Near Ballfield",Battery Park City,1,Active,40.71571999,-74.01460038
A,POINT (-73.97974857272591 40.71526755994791),"Near Ballfield, In Playground",Sidney Hillman Playground,1,Active,40.71526756,-73.97974857
E Wheelchair,POINT (-73.99261414286042 40.58705811396034),"Under Tree, In Shade, Out in Open",Calvert Vaux Park,3,Active,40.58705811,-73.99261414
F Dog,POINT (-73.85609768284884 40.81415331830282),In Playground,Pugsley Creek Park,2,Active,40.81415332,-73.85609768
CS Metal,POINT (-73.85260685168473 40.8698090372523),In Playground,Eastchester Playground,2,Active,40.86980904,-73.85260685
A,POINT (-73.88165104052968 40.88370152868674),"Under Tree, In Shade",Van Cortlandt Park,2,Active,40.88370153,-73.88165104
C,POINT (-73.9068621116622 40.83099175393319),Out in Open,Rev Lena Irons Unity Park,2,Active,40.83099175,-73.90686211
C,POINT (-73.95104518642908 40.81369686800247),"In Playground, Under Tree",St. Nicholas Park,1,Active,40.81369687,-73.95104519
E Wheelchair Child,POINT (-73.97273051906492 40.65488278481804),In Playground,Prospect Park,3,Active,40.65488278,-73.97273052
E Wheelchair,POINT (-73.87299851982245 40.648982423920486),Near Ballfield,Spring Creek Park,3,Active,40.64898242,-73.87299852
C,POINT (-73.9391456041752 40.68660180611567),In Playground,Raymond Bush Playground,3,Active,40.68660181,-73.93914559999997
A,POINT (-73.71320185189641 40.741303100415465),Out in Open,Hillside Park,4,Active,40.7413031,-73.71320185
D,POINT (-73.91110837698395 40.7473657850963),Out in Open,Lawrence Virgilio Playground,4,Active,40.74736579,-73.91110838
C,POINT (-73.91085288157068 40.7110694404408),In Playground,Grover Cleveland Playground,4,Active,40.71106944,-73.91085288
E Wheelchair Child,POINT (-73.88929401588946 40.75421699172146),"Out in Open, Just Outside Playground",Travers Park,4,Active,40.75421699,-73.88929402
C,POINT (-73.72879563895773 40.725961964773454),Out in Open,Breininger Park,4,Active,40.72596196,-73.72879564
CS Metal,POINT (-73.9134809884812 40.81265381093669),"Out in Open, In Playground",St. Mary's Park,2,Active,40.81265381,-73.91348099
Bottle Filler High Low,POINT (-73.78116617422221 40.596080978484245),Near Ballfield,Conch Playground,4,Active,40.59608098,-73.78116617
E Wheelchair,POINT (-74.01067034405904 40.630036987581946),Under Tree,Leif Ericson Park,3,Active,40.63003699,-74.01067034
E Wheelchair,POINT (-73.98952641289044 40.69858729036102),Out in Open,Walt Whitman Park,3,Active,40.69858729,-73.98952641
A,POINT (-73.89741589654075 40.84108925361597),In Playground,Crotona Park,2,Active,40.84108925,-73.89741590000001
A,POINT (-73.76781915727652 40.772566214386714),Near Ballfield,Crocheron Park,4,Active,40.77256621,-73.76781916
CS Concrete,POINT (-73.91911361065183 40.6851100757045),In Playground,Saratoga Park,3,Active,40.68511008,-73.91911361
E Wheelchair,POINT (-73.98849168523519 40.74187520690421),"In Shade, Under Tree",Madison Square Park,1,Active,40.74187521,-73.98849169
E High Low,POINT (-73.82477507445515 40.796460500621066),"Under Tree, In Playground",Francis Lewis Park,4,Active,40.7964605,-73.82477507
A,POINT (-73.97347892924304 40.72313887849657),Near Ballfield,John V. Lindsay East River Park,1,Active,40.72313888,-73.97347893
C,POINT (-73.8025434023481 40.6801906020713),In Playground,Dr. Charles R. Drew Park,4,Active,40.6801906,-73.8025434
F Dog,POINT (-74.00296654455694 40.67976273462538),Out in Open,Dimattina Playground,3,Active,40.67976273,-74.00296654
A,POINT (-73.89361350430616 40.65395567690513),"Out in Open, In Playground",Breukelen Ballfields,3,Active,40.65395568,-73.8936135
C,POINT (-73.85687402338236 40.810173779128654),In Playground,Harding Park,2,Active,40.81017378,-73.85687402
A,POINT (-73.83875571562426 40.74480380086003),Out in Open,Flushing Meadows Corona Park,4,Active,40.74480379999999,-73.83875572
A,POINT (-73.85727298306091 40.73541594484174),In Playground,Real Good Park,4,Active,40.73541594,-73.85727298
C,POINT (-74.163452201318 40.61989725472474),Under Tree,Jennifer's Playground,5,Active,40.61989725,-74.1634522
A,POINT (-73.90804597946936 40.87772035416094),Out in Open,Marble Hill Playground,2,Active,40.87772035,-73.90804598
C,POINT (-73.74637863758849 40.66105174471963),Near Ballfield,Brookville Park,4,Active,40.66105174,-73.74637864
C,POINT (-73.97613232325764 40.697613765398415),"Out in Open, Just Outside Playground",Oxport Playground,3,Active,40.69761377,-73.97613232
D,POINT (-73.92453167438173 40.77532812858488),In Playground,Astoria Park,4,Active,40.77532813,-73.92453167
A,POINT (-73.89817721146704 40.81943832062075),In Playground,Dawson Playground,2,Active,40.81943832,-73.89817721
C,POINT (-73.79237257239393 40.73082946270979),"Under Tree, In Playground",Utopia Playground,4,Active,40.73082946,-73.79237257
D,POINT (-73.83928027899518 40.67049371534378),Near Ballfield,Centreville Playground,4,Active,40.67049372,-73.83928028
A,POINT (-74.08383941848027 40.64821127100718),Out in Open,North Shore Esplanade,5,Active,40.64821127,-74.08383942
A,POINT (-73.95383535090082 40.82568207926962),In Playground,Riverside Park,1,Active,40.82568208,-73.95383535
C,POINT (-73.91196305809171 40.69597117831168),"Out in Open, Just Outside Playground",Bushwick Playground,3,Active,40.69597118,-73.91196306
A,POINT (-73.92707279896702 40.83473484737953),Under Tree,Nelson Playground,2,Active,40.83473485,-73.9270728
Other,POINT (-73.9899146471847 40.692998192881696),Out in Open,Korean War Veterans Plaza,3,Active,40.69299819,-73.98991465
D,POINT (-73.98402878980643 40.71905778593518),"In Playground, Near Ballfield",Nathan Straus Playground,1,Active,40.71905779,-73.98402879
E Wheelchair,POINT (-73.78657644121047 40.676988006551156),In Shade,Baisley Pond Park,4,Active,40.67698801,-73.78657644
A,POINT (-73.89463248945107 40.67103136309912),Near Ballfield,Grace Playground,3,Active,40.67103136,-73.89463249
A,POINT (-73.96837050942077 40.650335283457274),"Under Tree, Near Ballfield",Parade Ground,3,Active,40.65033528,-73.96837051
A,POINT (-73.94659444606421 40.70659983666563),"Near Ballfield, Under Tree",Sternberg Park,3,Active,40.70659984,-73.94659445
D,POINT (-73.84518541207781 40.744147712948646),Out in Open,Flushing Meadows Corona Park,4,Active,40.74414771,-73.84518541
A,POINT (-73.83668734459958 40.750346131049085),Out in Open,Flushing Meadows Corona Park,4,Active,40.75034613,-73.83668734
C,POINT (-73.77613683043597 40.74787438509475),In Playground,Saul Weprin Playground,4,Active,40.74787439,-73.77613683
D,POINT (-73.93544148145634 40.81875039624868),Near Ballfield,Col. Young Playground,1,Active,40.8187504,-73.93544148
